STATUS ,BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,,FOUND PATH
MATCH,187025,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=187025,,,pr3991_a1_d57_1774,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3991_a1_d57_1774
MATCH,186979,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=186979,,,PR3991_A1_E38_1774_V1-2,,./EarlyNovelsDigitization/Batch2QApass_shared51917/PR3991_A1_E38_1774_V1-2
MATCH,1796495,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1796495,,,PR3991_A1_F365_1773,,./EarlyNovelsDigitization/PR3991_A1_F365_1773
MATCH,150708,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=150708,,,pr3991_a1_f39_1772,,./EarlyNovelsDigitization/pr3991_a1_f39_1772
MATCH,1800040,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1800040,,,pr3991_a1_f396_1770,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3991_a1_f396_1770
MATCH,149179,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=149179,,,pr3991_a1_h47_1779,,./EarlyNovelsDigitization/pr3991_a1_h47_1779
MATCH,105657,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=105657,,,PR3991_A1_H5734_1777,,./EarlyNovelsDigitization/Batch2QApass_shared51917/PR3991_A1_H5734_1777
MULTI-MATCH,157772,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=157772,,,PR3991_A1_L398_1783_V1-2,,./PR3991_A1_L398_1783_V1-2 | ./EarlyNovelsDigitization/PR3991_A1_L398_1783_V1-2 | ./EarlyNovelsDigitization/Batch2QApass_shared51917/PR3991_A1_L398_1783_V1-2
MATCH,1812029,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1812029,,,pr3991_a1_l4_1817,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3991_a1_l4_1817
MATCH,1991190,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1991190,,,pr3991_a1_l63_1787,,./EarlyNovelsDigitization/pr3991_a1_l63_1787
MATCH,87326,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=87326,,,pr3991_a1_m65_1791,,./EarlyNovelsDigitization/pr3991_a1_m65_1791
MATCH,148308,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=148308,,,pr3991_a1_r44_1780_v1-2,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3991_a1_r44_1780_v1-2
MATCH,161076,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=161076,,,pr3991_a1_r63_1773,,./EarlyNovelsDigitization/pr3991_a1_r63_1773
MATCH,105783,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=105783,,,pr3991_a1_s74_1793,,./EarlyNovelsDigitization/pr3991_a1_s74_1793
MATCH,107624,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=107624,,,pr3991_a1_t75_1789,,./EarlyNovelsDigitization/pr3991_a1_t75_1789
MATCH,105751,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=105751,,,pr3991_a1_w74_1790,,./EarlyNovelsDigitization/pr3991_a1_w74_1790
MATCH,155045,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=155045,,,pr3991_a6_l313_1779,,./EarlyNovelsDigitization/pr3991_a6_l313_1779
MATCH,158827,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=158827,,,pr3991_a6_l316_1781,,./EarlyNovelsDigitization/pr3991_a6_l316_1781
MATCH,157631,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=157631,,,pr3991_a6_l319_1782,,./EarlyNovelsDigitization/pr3991_a6_l319_1782
MATCH,186248,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=186248,,,pr3991_a6_l325_1777,,./EarlyNovelsDigitization/pr3991_a6_l325_1777
MATCH,154757,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=154757,,,pr3991_a6_l327_1776,,./EarlyNovelsDigitization/pr3991_a6_l327_1776
MATCH,149176,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=149176,,,pr3991_a6_l328_1779,,./EarlyNovelsDigitization/pr3991_a6_l328_1779
MATCH,154369,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=154369,,,pr3991_a6_y67_1773,,./EarlyNovelsDigitization/pr3991_a6_y67_1773
NO MATCH,107628,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=107628,,,pr3991_a6_Y676_1787b,,""
MATCH,159824,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=159824,,,pr3991_a6_y68_1784,,./EarlyNovelsDigitization/pr3991_a6_y68_1784
MATCH,83255,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=83255,,,pr3991_a7_e44_1780,,./EarlyNovelsDigitization/pr3991_a7_e44_1780
MATCH,6436279,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6436279,,,pr3991_a7_l67_1791,,./EarlyNovelsDigitization/pr3991_a7_l67_1791
MATCH,1761820,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1761820,,,pr4149_b9_e6_1795,,./EarlyNovelsDigitization/pr4149_b9_e6_1795
MATCH,208123,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=208123,,,pr5178_p66_l3_1791,,./EarlyNovelsDigitization/pr5178_p66_l3_1791
MATCH,107478,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=107478,,,pr5233_r27_c3_1777,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr5233_r27_c3_1777
MATCH,199589,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199589,,,pr5452_s73_o42_1771,,./EarlyNovelsDigitization/pr5452_s73_o42_1771
